Age,Title,Review,Rating,Recommend,Positive Feedback Count,Department Name,Class Name,Review Length
64,A really cute top,"I am normally an xs or s in tanks, so ordered the size 6. looks pretty much on me as in the pic. love that it's a cotton denim but it doesn't have any stretch. love the look & the fabric, but the neck area feels slightly restrictive in the front & i think it wld creep up & pull on me when wearing. fabric is slightly stiff & the flared bottom just sticks out. armholes do cover the bra & length hits at the top of the hips on me. going to return the 6, but will try the 8 if the local store has it.",4,1,31,Tops,Blouses,516
30,Great shirt,"I ordered this shirt last week, and i wore it as soon as it arrived. it is a beautiful shirt with an original design. it is rather casual, but you can dress it up with the right accessories. the print appears to be navy (it was advertised as black), and it looks great with jeans. i would certainly recommend this item.",5,1,0,Tops,Blouses,330
33,Great skirt,"Love the material -- it is a thick cotton, but it is structured enough and thick enough so that it doesn't cling to me (in a bad way). its like wearing a sweater. my only beef with it is that the seam where the black material is stitched to the gray material creates a bump in the silhouette. (the black material is the same as the gray and it also has a herringbone pattern thats not really visible in the pictures) i would have preferred a uniform material rather than a panel sewn in. not a huge d",5,1,4,Bottoms,Skirts,511
37,Lovely top,"This is a beautiful, simple, yet feminine top. a little tight in the bust on me - so i had to size up (and i am not busty). for reference, i am 117 5'3 34b. i'm probably in between a small and x-small on this - but went with the small.",5,1,0,Tops,Knits,245
59,Runs quite large,"The photo of the mila turtleneck where model has her hands to her sides, and just below her hair, there is a bit of extra fabric which falls to the bottom of the sweater in a bit of a pleat- well, it's not representative of the abundance of fabric in the xl. i usually wear an l or xl well with retailer clothing. the excess added the appearance of excessive pounds from breasts to bottom of sweater. bummer. i'll be returning it.",2,0,3,Tops,Knits,446
26,Soft but fit oddly,"I wanted to love these, but the zipper is extremely short and they were not flattering on my thicker thighs and large behind. the fabric is so soft, however and the color is great. would work on a less curvy woman!",3,1,0,Bottoms,Pants,232
26,Belle of the ball,I wore this dress to a party once and haven't been able to find an outfit that can top it!,5,1,0,Dresses,Dresses,107
38,Perfect every day top for work or play,"I purchased the blue stripes and the black cat prints on sale and i'm very pleased. they each fit me a little differently as the black cats fit tighter through the arms, the stripes remain a bit looser throughout. no complaints here! i like the variation. i ordered a size small as i'm normally a size small (36c, 135 lbs, 5'2"").",5,1,0,Tops,Blouses,367
67,Great for summer,"I just got this top and can't wait to wear it for spring/summer! it is a lovely lightweight material and hangs loosely and comfortably. it definitely runs quite large so i would at the very least consider ordering on the small side of what you normally wear if not sizing down one completely. this is coming from someone who usually likes tops on the roomier side, so trust me on this! overall, i highly recommend this top if you're looking for a muted but unique, comfy top for the warmer months ahe",4,1,2,Tops,Knits,516
57,Cute & versatile,"This skirt is about an inch longer on me than on the model in photo (i'm 5 ft, ordered petite) but the length actually works. i have a bit of a tummy, so ordered size 4 - fits great. really love the colors - so many tops will go with this skirt, so it will be easy to vary the look.",5,1,2,Bottoms,Skirts,298
47,It's cute,"I thought it would have been heavier, surprised it was so thin but it works. i live in the deep south so it doesn't get that cold. i wore it to dinner with a black top and jeans, it was super cute. i'm happy with my purchase.",4,1,0,Jackets,Jackets,234
66,Pretty top,I like that the top is lightweight and very comfortable and is flattering. i can see wearing this over the holidays for entertaining. it looks festive and pretty - something easy to pop on and look pulled together in a flash.,4,1,0,Tops,Blouses,235
69,So pretty,"I ordered this dress to wear to a summer wedding in san francisco. i liked that it had sleeves, a plus. when i was trying it on, i found that it was a little snug, then realized it was the slip, which is not too tight at all once the dress is on. it helps to smooth those little bumps. it is drop waist style, which skims the torso, then flares out prettily. all in all very complimentary, beautiful color, well made. very pleased; it will be comfortable and perfect at the wedding.",5,1,2,Dresses,Dresses,491
